Tache,TD-1_L_Matin,TD-1_L_Aprem,TD-1_Ma_Matin,TD-1_Ma_Aprem,TD-1_Me_Matin,TD-1_Me_Aprem,TD-1_J_Matin,TD-1_J_Aprem,TD-1_V_Matin,TD-1_V_Aprem,TD-1_S_Matin,TD-1_S_Aprem,TD-2_L_Matin,TD-2_L_Aprem,TD-2_Ma_Matin,TD-2_Ma_Aprem,TD-2_Me_Matin,TD-2_Me_Aprem,TD-2_J_Matin,TD-2_J_Aprem,TD-2_V_Matin,TD-2_V_Aprem,TD-2_S_Matin,TD-2_S_Aprem,TD-3_L_Matin,TD-3_L_Aprem,TD-3_Ma_Matin,TD-3_Ma_Aprem,TD-3_Me_Matin,TD-3_Me_Aprem,TD-3_J_Matin,TD-3_J_Aprem,TD-3_V_Matin,TD-3_V_Aprem,TD-3_S_Matin,TD-3_S_Aprem,TD-4_L_Matin,TD-4_L_Aprem,TD-4_Ma_Matin,TD-4_Ma_Aprem,TD-4_Me_Matin,TD-4_Me_Aprem,TD-4_J_Matin,TD-4_J_Aprem,TD-4_V_Matin,TD-4_V_Aprem,TD-4_S_Matin,TD-4_S_Aprem,SALLE-60_L_Matin,SALLE-60_L_Aprem,SALLE-60_Ma_Matin,SALLE-60_Ma_Aprem,SALLE-60_Me_Matin,SALLE-60_Me_Aprem,SALLE-60_J_Matin,SALLE-60_J_Aprem,SALLE-60_V_Matin,SALLE-60_V_Aprem,SALLE-60_S_Matin,SALLE-60_S_Aprem,AMPHI-100_L_Matin,AMPHI-100_L_Aprem,AMPHI-100_Ma_Matin,AMPHI-100_Ma_Aprem,AMPHI-100_Me_Matin,AMPHI-100_Me_Aprem,AMPHI-100_J_Matin,AMPHI-100_J_Aprem,AMPHI-100_V_Matin,AMPHI-100_V_Aprem,AMPHI-100_S_Matin,AMPHI-100_S_Aprem,AMPHI-200_L_Matin,AMPHI-200_L_Aprem,AMPHI-200_Ma_Matin,AMPHI-200_Ma_Aprem,AMPHI-200_Me_Matin,AMPHI-200_Me_Aprem,AMPHI-200_J_Matin,AMPHI-200_J_Aprem,AMPHI-200_V_Matin,AMPHI-200_V_Aprem,AMPHI-200_S_Matin,AMPHI-200_S_Aprem
GMM-I1_Anal._Fonc._I,1.706809,4.144963,2.174232,3.097323,2.330995,1.726295,2.620200,4.077984,4.081675,4.858367,2.781798,4.778327,2.605388,3.894616,3.517047,1.722319,1.800972,2.357165,4.888634,4.062663,1.888855,3.165841,2.248908,1.858446,1.328711,3.194226,3.170639,2.525774,3.457463,5.166518,1.751007,2.165131,1.469192,2.419535,2.813105,5.318309,1.328711,2.528139,3.022093,5.705940,2.222176,3.340321,4.761686,4.478507,2.220466,3.537329,3.937462,2.494078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I1_Alg._Lin._I,1.691911,4.799706,3.320740,1.328711,1.328711,2.397374,5.842312,1.328711,2.295646,3.610083,5.880600,4.479260,1.657510,2.618886,1.328711,1.829690,1.730311,4.809784,4.251981,3.828178,2.291501,1.947411,5.693698,3.314530,5.536468,1.720230,3.819463,1.328711,3.260743,2.577903,2.264460,3.420850,1.328711,2.664390,2.939342,2.806646,1.328711,2.270170,2.380288,4.169735,1.871633,1.328711,1.328711,1.834750,4.242807,3.696790,5.940000,5.108747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I1_Mod._Stoch._I,5.821794,5.265126,4.907442,4.336903,3.238517,4.734437,1.469192,1.814810,1.328711,3.859328,1.328711,2.483304,1.355689,4.651747,1.608280,3.064781,1.923032,2.277521,1.903836,2.436964,3.442143,2.281873,3.922357,4.438202,2.839475,1.985868,3.804068,3.778942,2.750190,2.912475,3.282940,3.097365,1.484032,3.593595,1.657510,2.975082,4.947749,1.369383,1.850240,4.306383,2.708633,5.513268,3.452128,2.404048,4.468016,2.372109,2.383586,1.893904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I1_Opt._Dis._I,2.380067,4.283607,2.925963,3.682096,4.136695,2.882197,2.968474,3.604000,1.397187,5.426292,1.592197,1.328711,4.761686,3.859376,5.536468,3.666703,2.517740,3.455512,1.576276,1.328711,1.328711,1.328711,3.161812,3.313671,4.907442,1.328711,2.873737,3.560247,1.484032,2.852040,1.911205,2.662255,2.608598,2.604627,2.915451,2.700433,3.163744,2.251537,2.588306,3.452128,2.637887,5.372030,4.704196,3.557222,1.328711,4.620259,1.742931,2.295127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I1_Cal._Sci._I,5.648881,3.067980,1.328711,2.575129,4.435548,4.975590,3.371424,1.688279,3.894616,1.814810,2.605388,1.981896,1.328711,4.454368,3.515675,3.139105,3.286515,2.344918,2.821173,3.523839,5.880600,3.239218,1.869966,2.817177,4.306383,2.298785,1.824680,4.399282,4.244918,1.328711,2.562111,3.339614,1.328711,4.761686,2.116557,3.389168,2.715228,1.730311,3.327448,1.995736,5.372030,4.835855,2.148486,2.160721,2.330995,1.454500,4.487008,1.832754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I2_Anal._Fonc._II,4.042323,1.839861,4.249591,1.972073,3.719918,1.328711,1.355689,3.879882,4.114146,5.124465,4.852378,1.869966,4.489995,2.505850,1.328711,1.755273,2.347236,2.595697,4.156044,2.006261,1.383215,3.071099,3.186102,4.071046,5.648881,2.739105,1.328711,4.479501,2.196118,5.403554,3.703741,3.451614,3.452128,2.873373,5.212475,2.424331,3.522221,2.712262,1.592197,3.296834,2.764354,2.345748,3.250110,1.624526,2.876243,3.776862,4.536183,1.328711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I2_Alg._Lin._II,2.626595,2.176695,2.169085,3.045125,2.005983,3.502753,3.743404,3.343117,3.087273,4.877315,3.055163,1.328711,5.217380,2.606792,2.509179,2.311050,2.477698,4.136695,4.714069,3.522548,4.348683,4.431903,1.328711,1.411300,1.888252,4.574056,2.341119,3.753480,1.955694,5.173777,2.242608,1.328711,1.945035,3.985893,2.615549,3.770649,1.851267,5.265126,2.843955,2.970816,1.397187,1.877117,3.630036,1.935924,3.086360,1.355689,4.044369,5.821794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I2_Mod._Stoch._II,1.670656,4.385547,1.833596,3.191702,5.140573,4.185725,1.328711,2.253449,1.328711,2.880849,1.742604,3.365187,1.342132,2.557316,3.522221,1.328711,2.482152,1.328711,2.792435,4.958804,4.017398,4.528316,2.344995,5.481103,2.824791,2.120495,1.328711,2.410273,5.763576,2.454311,1.328711,4.695399,5.648881,1.674253,4.483796,4.263319,5.151061,3.179679,3.973311,1.328711,1.866840,4.806862,1.708247,3.048001,1.328711,2.372612,5.536468,1.328711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I2_Opt._Dis._II,2.393294,1.328711,2.936503,3.690074,1.328711,3.933955,3.243408,4.714069,2.743973,1.328711,3.066031,2.552014,1.469192,2.621566,1.710628,4.344951,5.081150,5.212475,3.261645,2.272463,3.919190,2.148486,3.928560,4.395288,4.208242,1.328711,2.938561,2.703620,4.109263,5.583593,2.380067,2.433246,4.862397,2.951097,1.882657,2.973785,2.591720,4.039459,2.863895,3.507265,3.773289,3.212364,2.226340,4.809784,2.330995,4.148909,1.328711,1.328711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I2_Cal._Sci._II,3.505265,5.426292,1.328711,2.949695,1.328711,5.481103,5.315104,1.592197,2.322453,3.370880,2.282460,3.812969,4.013831,3.615950,3.201251,2.033765,5.265126,3.898311,2.173579,1.560513,2.495007,3.333229,4.856950,1.439955,4.907442,2.026526,3.855670,3.080921,2.156767,1.355689,1.328711,5.880600,4.041724,2.426073,1.328711,2.384894,1.328711,2.880581,1.911205,1.624526,3.593736,3.016089,2.928255,2.182113,3.856030,1.882657,1.328711,2.340840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GMM-I3_Anal._Fonc._III,5.094562,2.374295,5.536468,1.805137,1.328711,4.840114,4.263319,2.529632,4.187501,3.618917,3.245605,1.829690,5.641556,2.490379,5.010074,2.976631,3.013970,1.667237,4.007119,3.375633,6.000000,4.433856,2.351345,3.555003,2.281873,2.586859,1.657510,2.649663,1.560513,1.469192,2.077594,4.220686,1.328711,3.118320,2.529734,2.372963,5.809288,1.355689,4.672909,2.913296,1.328711,2.769464,2.685139,2.714835,1.866204,2.639595,1.328711,3.557799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
